AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)","Bacchus, Ceres and Cupid",-,"Oil on canvas, 163 x 113 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/detail/a/aachen/bacchus.jpg,painting,mythological,German,1601-1650
"AAGAARD, Carl Frederik","(b. 1833, Odense, d. 1895, København)",Deer beside a Lake,1888,"Oil on canvas, 53 x 82 cm",Private collection,https://www.wga.hu/detail/a/aagaard/deerlake.jpg,painting,landscape,Danish,1851-1900
"ABADIA, Juan de la",(active 1470-1490 in Huesca),The Archangel Michael,c. 1490,"Wood, 127 x 78 cm","Museu Nacional d'Art de Catalunya, Barcelona",https://www.wga.hu/detail/a/abadia/michael.jpg,painting,religious,Spanish,1451-1500
"ABAQUESNE, Masséot","(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)",Albarello,c. 1545,Maiolica,"Musée des Beaux-Arts, Rouen",https://www.wga.hu/detail/a/abaquesn/albarell.jpg,ceramics,other,French,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Chimney breast,c. 1552,-,"Château, Écouen",https://www.wga.hu/detail/a/abbate/chimney1.jpg,painting,other,Italian,1501-1550
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Landscape at Castiglioncello,1863,"Oil on panel, 10 x 30 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/detail/a/abbati/abbati1.jpg,painting,landscape,Italian,1851-1900
"ABBATINI, Guido Ubaldo","(b. ca. 1602, Città di Castello, d. 1656, Roma)",Gian Lorenzo Bernini's Cornaro Chapel,c. 1650,"Oil on canvas, 168 x 120 cm","Staatliches Museum, Schwerin",https://www.wga.hu/detail/a/abbatini/cornaro.jpg,painting,religious,Italian,1601-1650
"ABEELE, Pieter van","(b. 1608, Middelburg, d. 1684, Amsterdam)",Medal commemorating Charles II embarkation at Scheveningen,1660,"Silver, diameter 7 cm","Royal Collection, Windsor",https://www.wga.hu/detail/a/abeele/commemo1.jpg,sculpture,historical,Dutch,1601-1650
"ABILDGAARD, Nicolai","(b. 1743, København, d. 1809, Frederiksdal)",The Midwife Taking Leave of the Girl from Andros,1801,"Oil on canvas, 158 x 129 cm","Statens Museum for Kunst, Copenhagen",https://www.wga.hu/detail/a/abildgaa/andria1.jpg,painting,mythological,Danish,1751-1800
"ABONDIO, Antonio","(b. 1538, Riva del Garda, d. 1591, Wien)",Medallion Portrait of Emperor Maximilian II,c. 1575,Wax on obsidian,"Kunsthistorisches Museum, Vienna",https://www.wga.hu/detail/a/abondio/maximili.jpg,sculpture,portrait,Italian,1551-1600
"ACERO Y AREBO, Vicente","(b. ca. 1677, Cabárceno, d. 1739, Sevilla)",Exterior view,1722-1838,Photo,"Cathedral, Cádiz",https://www.wga.hu/detail/a/acero/cadiz1.jpg,architecture,other,Spanish,1701-1750
"ACHENBACH, Oswald","(b. 1827, Düsseldorf, d. 1905, Düsseldorf)",Fireworks in Naples,1875,"Oil on canvas, 66 x 102 cm","The Hermitage, St. Petersburg",https://www.wga.hu/detail/a/achenbac/firework.jpg,painting,landscape,German,1851-1900
"ADAM, Albrecht","(b. 1786, Nördlingen, d. 1862, München)",Battle of Moscow on 7 September 1812,1815-25,"Oil and gouache on paper, 21 x 30 cm","The Hermitage, St. Petersburg",https://www.wga.hu/detail/a/adam1/battle.jpg,painting,historical,German,1801-1850
"ADAM, Lambert-Sigisbert","(b. 1700, Nancy, d. 1759, Nancy)",Child Pinched by a Lobster,c. 1740,"Bronze, height 25,5 cm","Institute of Arts, Detroit",https://www.wga.hu/detail/a/adam/lambert/child_lo.jpg,sculpture,other,French,1701-1750
"ADAM, Nicolas-Sébastien","(b. 1705, Nancy, d. 1778, Paris)",The Martyrdom of Sainte Victoire,1747,Bronze,"Chapel of Château, Versailles",https://www.wga.hu/detail/a/adam/nicolas/martyrdo.jpg,sculpture,religious,French,1701-1750
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Exterior view,1760s,Photo,"Kedleston Hall, Derbyshire",https://www.wga.hu/detail/a/adam2/kedlesto.jpg,architecture,other,Scottish,1751-1800
"ADAM-SALOMON, Antoine-Samuel","(b. 1818, La Ferte-sous-Jouarre, d. 1881, Paris)",Bust of Isaac Péreire,-,"White marble, height 77 cm",Private collection,https://www.wga.hu/detail/a/adam-sal/pereire.jpg,sculpture,portrait,French,1851-1900
"ADELCRANTZ, Carl Fredrik","(b. 1716, Stockholm, d. 1796, Stockholm)",Exterior view,1766,Photo,"Palace Theatre, Drottningholm",https://www.wga.hu/detail/a/adelcran/theatre1.jpg,architecture,other,Swedish,1751-1800
"ADEMOLLO, Luigi","(b. 1764, Milano, d. 1849, Firenze)",View of the Room of the Ark,1816,Fresco,"Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/detail/a/ademollo/ark.jpg,painting,religious,Italian,1801-1850
"ADLER, Salomon","(b. 1630, Danzig, d. 1709, Milano)",Self-Portrait,1650s,"Oil on canvas, 74 x 60 cm",Private collection,https://www.wga.hu/detail/a/adler/selfport.jpg,painting,portrait,German,1651-1700
"ADOLPHI, Christoffel","(b. ca. 1631, Augusburg, d. 1680, Amsterdam)",Commemorative Medal for Admiral Michiel Adriaensz. de Ruyter,1676,"Silver, struck and embossed, diameter 7 cm",Private collection,https://www.wga.hu/detail/a/adolphi/ruyter.jpg,sculpture,historical,Dutch,1651-1700
"ADRIAENSSEN, Alexander","(b. 1587, Antwerpen, d. 1661, Antwerpen)",Fish and Dead Game,1643,"Oil on canvas, 58 x 87 cm","The Hermitage, St. Petersburg",https://www.wga.hu/detail/a/adriaens/fishgame.jpg,painting,still-life,Flemish,1601-1650
ADRIANO FIORENTINO,"(b. ca. 1455, Firenze, d. 1499, Firenze)","Elector Frederick III of Saxony, Called Frederick the Wise",1498,"Brass, height 62 cm","Staatliche Kunstsammlungen, Dresden",https://www.wga.hu/detail/a/adriano/frederic.jpg,sculpture,portrait,Italian,1451-1500
"AELST, Willem van","(b. 1627, Delft, d. ca. 1683, Amsterdam)",Breakfast Piece,1671,"Oil on canvas, 49 x 41 cm","Akademie der bildenden Künste, Vienna",https://www.wga.hu/detail/a/aelst/breakfas.jpg,painting,still-life,Dutch,1651-1700
"AENVANCK, Theodoor","(b. 1633, Antwerpen, d. 1690, Antwerpen)",Fruit,1653,"Oil on panel, 63 x 80 cm","Koninklijk Museum voor Schone Kunsten, Antwerp",https://www.wga.hu/detail/a/aenvanck/fruit.jpg,painting,still-life,Flemish,1651-1700
AERT VAN ORT,(active 1490-1536),Susanna and the Elders,1520-25,"Stained glass, diameter 24 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/detail/a/aert/susanna.jpg,stained-glass,religious,Netherlandish,1501-1550
"AERTSEN, Pieter","(b. 1508, Amsterdam, d. 1575, Amsterdam)",Apostles Peter and John,1575,"Oil on wood, 55,5 x 76 cm cm","The Hermitage, St. Petersburg",https://www.wga.hu/detail/a/aertsen/apostles.jpg,painting,religious,Netherlandish,1501-1550
"AGASSE, Jacques-Laurent","(b. 1767, Geneve, d. 1849, London)",Study of Dogs,c. 1803,"Oil on canvas, 29 x 40 cm",Private collection,https://www.wga.hu/detail/a/agasse/dogstudy.jpg,painting,other,Swiss,1801-1850
AGNOLO DI POLO,"(b. ca. 1470, Firenze, d. after 1498)",Mary Magdalene,c. 1495,"Gilt and painted terracotta, height 156 cm",Private collection,https://www.wga.hu/detail/a/agnolo/magdalen.jpg,sculpture,religious,Italian,1451-1500
AGNOLO DI VENTURA,(active 1311-1349 in Siena),Monument to Bishop Guido Tarlati,1327-30,Marble,"Duomo, Arezzo",https://www.wga.hu/detail/a/agnol/tarlati1.jpg,sculpture,religious,Italian,1301-1350
AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",St Bridget of Sweden Receiving the Rule of Her Order,1459-60,"Marble, 43 x 64 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/detail/a/agostin/bridget.jpg,sculpture,religious,Italian,1451-1500
AGOSTINO DI GIOVANNI,(active 1310-1347 in Siena),Monument to Bishop Guido Tarlati,1327-30,Marble,"Duomo, Arezzo",https://www.wga.hu/detail/a/agostino/tarlati.jpg,sculpture,religious,Italian,1301-1350
"AGRATE, Gian Francesco Ferrari d'","(b. 1489, Parma, d. ca. 1563, Parma)",Sepulchral Monument to Sforzino Sforza,1528-36,Marble,"Santa Maria della Steccata, Parma",https://www.wga.hu/detail/a/agrate/sforza.jpg,sculpture,other,Italian,1501-1550
"AGUADO LÓPEZ, Antonio","(b. 1764, Sangüesa, d. 1831, Sangüesa)",General view,1816-17,Photo,"Puerta de Toledo, Madrid",https://www.wga.hu/detail/a/aguado/puerta.jpg,architecture,other,Spanish,1801-1850
"AIVAZOVSKY, Ivan Konstantinovich","(b. 1817, Feodosiya, d. 1900, Feodosiya)",The Ninth Wave,1850,"Oil on canvas, 221 × 332 cm","State Russian Museum, St. Petersburg",https://www.wga.hu/detail/a/aivazovs/9th_wave.jpg,painting,landscape,Russian,1851-1900
"AKEN, Joseph van","(b. ca. 1699, Antwerpen, d. 1749, London)",The Van Aken Brothers,-,"Oil on canvas, 89 x 125 cm",Private collection,https://www.wga.hu/detail/a/aken/brothers.jpg,painting,portrait,Flemish,1701-1750
"AKOTANTOS, Angelos",(died before 1457),The Virgin Cardiotissa,1400-50,"Tempera and leaf on panel, 121 x 96,5 cm","Byzantine and Christian Museum, Athens",https://www.wga.hu/detail/a/akotanto/cardioti.jpg,painting,religious,Greek,1401-1450
"ALBA, Macrino d'","(b. ca. 1460, Alba, d. ca. 1528, Alba)",Figure of a Saint,-,"Oil on panel, 48 x 27 cm",Private collection,https://www.wga.hu/detail/a/alba/figsaint.jpg,painting,religious,Italian,1451-1500
"ALBANI, Francesco","(b. 1578, Bologna, d. 1660, Bologna)",Spring (Venus at her Toilet),1616-17,"Oil on canvas, diameter 154 cm","Galleria Borghese, Rome",https://www.wga.hu/detail/a/albani/1/1spring.jpg,painting,mythological,Italian,1601-1650
"ALBEREGNO, Jacobello",(died before1397 in Venice),Polyptych of the Apocalypse,1360-90,"Tempera on panel, 95 x 61 cm (centre), 45 x 33 cm (sides)","Gallerie dell'Accademia, Venice",https://www.wga.hu/detail/a/alberegn/apocaly.jpg,painting,religious,Italian,1351-1400
"ALBERTI, Antonio","(b. ca. 1390, Ferrara, d. ca. 1442, Urbino)",St John fresco cycle,c. 1416,Fresco,"Oratory of San Giovanni Battista, Urbino",https://www.wga.hu/detail/a/albert/oratory.jpg,painting,religious,Italian,1401-1450
"ALBERTI, Cherubino","(b. 1553, Borgo San Sepolcro, d. 1615, Roma)",Fame,-,Engraving. 320 x 170 cm,"British Museum, London",https://www.wga.hu/detail/a/alberti1/cherubin/fame.jpg,graphics,mythological,Italian,1551-1600
"ALBERTI, Giovanni","(b. 1558, Borgo San Sepolcro, d. 1601, Roma)",Ceiling decoration,1596-1602,Fresco,"Palazzo Pontifici, Vatican",https://www.wga.hu/detail/a/alberti1/giovanni/ceiling.jpg,painting,mythological,Italian,1551-1600
"ALBERTI, Leon Battista","(b. 1404, Genova, d. 1472, Roma)",Sant'Andrea: Façade,1472-92,Photo,"Piazza Andrea Mantegna, Mantua",https://www.wga.hu/detail/a/alberti/mantua1.jpg,architecture,religious,Italian,1401-1450
"ALBERTINELLI, Mariotto","(b. 1474, Firenze, d. 1515, Firenze)",Adoration of the Child with Angel,1497-99,"Panel, diameter 86 cm","Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/detail/a/albertin/adoratio.jpg,painting,religious,Italian,1451-1500
"ALBOTTO, Francesco","(b. 1721, Venezia, d. 1757, Venezia)",View of Campo Santi Giovanni e Paolo,c. 1745,"Oil on canvas, 61 x 97 cm","Museo Nazionale di Capodimonte, Naples",https://www.wga.hu/detail/a/albotto/campo.jpg,painting,landscape,Italian,1701-1750
"ALCIBAR, José de","(b. 1725/30, Mexico, d. 1803, Mexico)",Portrait of María Anna Josefa Taking Vow,1793,"Oil on canvas, 103,5 x 83,5 cm","Szépmûvészeti Múzeum, Budapest",https://www.wga.hu/detail/a/alcibar/v_josefa.jpg,painting,portrait,Other,1751-1800
"ALDROVANDI, Ulisse","(b. 1522, Bologna, d. 1605, Bologna)",Red Hartebeest and Blackbuck,-,Watercolour,"Biblioteca, University of Bologna, Bologna",https://www.wga.hu/detail/a/aldrovan/animal1.jpg,graphics,study,Italian,1551-1600
"ALEANDRI, Ireneo","(b. 1795, San Severino Marche, d. 1885, Macerata)",Viaduct,1847-57,Photo,"Ariccia, near Rome",https://www.wga.hu/detail/a/aleandri/ariccia.jpg,architecture,other,Italian,1801-1850
"ALEKSANDROVIÆ, Ljubomir","(b. 1828, Srpski Sv. Marton, d. 1887)",Grape Harvest Girl,1878,"Oil on canvas, 127 x 94 cm","National Museum, Belgrade",https://www.wga.hu/detail/a/aleksand/grapehar.jpg,painting,genre,Other,1851-1900
"ALEKSEYEV, Fyodor Yakovlevich","(b. ca. 1753, St. Petersburg, d. 1824, St. Petersburg)",The Flood of 1824 in the Square at the Bolshoi Kamenny Theatre,1824,"Oil on canvas, 70 x 108 cm","State Russian Museum, St. Petersburg",https://www.wga.hu/detail/a/alekseye/flood.jpg,painting,historical,Russian,1751-1800
"ALENZA Y NIETO, Leonardo","(b. 1807, Madrid, d. 1845, Madrid)",Portrait of an Architect,1825-30,"Oil on canvas, 79 x 67 cm",Private collection,https://www.wga.hu/detail/a/alenza/portrait.jpg,painting,portrait,Spanish,1801-1850
"ALESSI, Galeazzo","(b. 1512, Perugia, d. 1572, Perugia)",View of the façade,1552,-,"Santa Maria Assunta di Carignano, Genoa",https://www.wga.hu/detail/a/alessi/assunta.jpg,architecture,religious,Italian,1551-1600
ALESSO DI BENOZZO,"(b. 1473, Firenze, d. 1528, Firenze)",Annunciation,1480-1500,"Tempera and gold on wood, 41 x 36 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/detail/a/alesso/annuncia.jpg,painting,religious,Italian,1501-1550
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Bust of Bishop Ulpiano Volpi,1640s,"Bronze, height 58 cm","Museo Poldi Pezzoli, Milan",https://www.wga.hu/detail/a/algardi/1/b_volpi.jpg,sculpture,portrait,Italian,1601-1650
"ALINCBROT, Louis","(b. 1400/10, Bruges, d. 1460, Valencia)",Scenes from the Life of Christ,1440s,"Oil on panel, 78 x 67 cm","Museo del Prado, Madrid",https://www.wga.hu/detail/a/alincbro/scenes.jpg,painting,religious,Flemish,1401-1450
"ALLAR, André-Joseph","(b. 1845, Toulon, d. 1926, Toulon)",The Goodbyes of Alcestis,-,"White marble, 72 x 66 cm",Private collection,https://www.wga.hu/detail/a/allar/alcesti.jpg,sculpture,mythological,French,1851-1900
"ALLEGRAIN, Christophe-Gabriel","(b. 1710, Paris, d. 1795, Paris)",Venus at Bath,c. 1767,"Marble, height 174 cm","Musée du Louvre, Paris",https://www.wga.hu/detail/a/allegrai/christop/venus_ba.jpg,sculpture,mythological,French,1751-1800
"ALLEGRAIN, Etienne","(b. 1644, Paris, d. 1736, Paris)",Landscape with the Finding of Moses,-,"Oil on canvas, 88 x 115 cm","The Hermitage, St. Petersburg",https://www.wga.hu/detail/a/allegrai/etienne/landmose.jpg,painting,landscape,French,1651-1700
"ALLORI, Alessandro","(b. 1535, Firenze, d. 1607, Firenze)",View of the Salone,1578-82,Fresco,"Villa Medici, Poggio a Caiano",https://www.wga.hu/detail/a/allori/alessand/1poggio.jpg,painting,mythological,Italian,1551-1600
"ALLORI, Cristofano","(b. 1577, Firenze, d. 1621, Firenze)",Judith with the Head of Holofernes,1613,"Oil on canvas, 120,4 x 100,3 cm","Royal Collection, Windsor",https://www.wga.hu/detail/a/allori/cristofa/judith.jpg,painting,religious,Italian,1601-1650
"ALLSTON, Washington","(b. 1779, Waccamaw, d. 1843, Cambridgeport)",Uriel Standing in the Sun,1817,"Oil on canvas, 248 x 198 cm","Mugar Memorial Library, Boston",https://www.wga.hu/detail/a/allston/uriel.jpg,painting,other,American,1801-1850
"ALMA-TADEMA, Lawrence","(b. 1836, Dronrijp, d. 1912, Wiesbaden)",Reading from Homer,1885,"Oil on canvas, 91 x 183 cm","Museum of Art, Philadelphia",https://www.wga.hu/detail/a/almatade/almatad1.jpg,painting,mythological,English,1851-1900
"ALMONACID, Sebastián de","(b. ca. 1460, Torrijos, d. 1526, ?)",Tomb of Martin Vázquez,1490s,Marble,"Cathedral, Sigüenza",https://www.wga.hu/detail/a/almonaci/vazquez.jpg,sculpture,religious,Spanish,1451-1500
"ALSLOOT, Denis van","(b. 1570, Bruxelles, d. 1626, Bruxelles)",Extensive Wooded Landscape with Cephalus and Procris,-,"Oil on copper, 26 x 33 cm",Private collection,https://www.wga.hu/detail/a/alsloot/extensiv.jpg,painting,landscape,Flemish,1601-1650
"ALT, Rudolf von","(b. 1812, Wien, d. 1905, Wien)",View of Vienna from the Prater,1834,"Watercolour and gum arabic on paper, 285 x 401 mm",Private collection,https://www.wga.hu/detail/a/alt/viewvien.jpg,painting,landscape,Austrian,1801-1850
"ALTDORFER, Albrecht","(b. ca. 1480, Regensburg, d. 1538, Regensburg)",Landscape with Satyr Family,1507,"Panel, 23 x 20 cm","Staatliche Museen, Berlin",https://www.wga.hu/detail/a/altdorfe/1/1satyr.jpg,painting,landscape,German,1501-1550
"ALTENSTETTER, David","(b. ca. 1547, Colmar, d. 1617, Augsburg)",Cup and Cover,c. 1600,"Silver and silvergilt, with translucent enamel arabesques, height 22,5 cm","Wallace Collection, London",https://www.wga.hu/detail/a/altenste/cupcover.jpg,metalwork,other,German,1551-1600
ALTICHIERO da Zevio,"(b. ca. 1330, Zevio, d. ca. 1390, Verona)",View of the chapel,1378-84,Fresco,"Oratorio di San Giorgio, Padua",https://www.wga.hu/detail/a/altichie/1/1view1.jpg,painting,other,Italian,1351-1400
"ALTISSIMO, Cristofano dell'","(b. ca. 1530, d. 1605, Firenze)","Alchitrof, Emperor of Ethiopia",1568,"Oil on wood, 59 x 42 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/detail/a/altissim/alchitro.jpg,painting,portrait,Italian,1551-1600
"ALTOBELLO, Francesco Antonio","(b. 1637, Barletta, d. after 1695)",Adoration of the Shepherds,-,"Oil on canvas, 155 x 228 cm",Private collection,https://www.wga.hu/detail/a/altobell/shepherd.jpg,painting,religious,Italian,1651-1700
"ALTOMONTE, Bartolomeo","(b. 1694. Warszawa, d. 1783, Markt St Florian)",The Four Seasons Paying Homage to Chronos,c. 1737,"Oil on canvas, 75 x 95 cm","Residenzgalerie, Salzburg",https://www.wga.hu/detail/a/altomont/bartolom/4seasons.jpg,painting,mythological,Austrian,1701-1750
"ALTOMONTE, Martino","(b.1657, Napoli, d. 1745, Wien)",The Immaculate Conception,1719,"Oil on canvas, 39 x 57 cm","Narodna galerija Slovenije, Ljubljana",https://www.wga.hu/detail/a/altomont/martino/immacula.jpg,painting,religious,Austrian,1651-1700
"ÁLVARES, Baltasar","(active 1570, died 1624)",Exterior view,1622,Photo,"Nossa Senhora dos Grilos, Porto",https://www.wga.hu/detail/a/alvares/porto1.jpg,architecture,other,Portuguese,1601-1650
"ÁLVAREZ Y CUBERO, José","(b. 1768, Priego de Córdoba, d. 1827, Madrid)",Apollo,1808-14,"Marble, height 150 cm","Museo del Prado, Madrid",https://www.wga.hu/detail/a/alvarez/apollo.jpg,sculpture,mythological,Spanish,1801-1850
"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",Certosa: Façade,1473,Photo,"Certosa, Pavia",https://www.wga.hu/detail/a/amadeo/certosa.jpg,architecture,other,Italian,1451-1500
"AMBERGER, Christoph","(b. ca. 1505, Augsburg, d. 1562, Augsburg)",Christoph Fugger,1541,"Wood, 97 x 80 cm","Alte Pinakothek, Munich",https://www.wga.hu/detail/a/amberger/fugger.jpg,painting,portrait,German,1501-1550
"AMEDEI, Giuliano","(b. ca. 1446, Firenze, d. 1496, Lucca)",Frontispiece,1465-70,"Tempera and gold on parchment, 341 x 244 mm","Biblioteca Comunale degli Intronati, Siena",https://www.wga.hu/detail/a/amedei/frontis.jpg,illumination,other,Italian,1451-1500
"AMENDOLA, Giovanni Battista","(b. 1848, Episcopio di Sarno, d. 1887, Napoli)",Venus,-,"Bronze, golden brown and dark brown patina, height 87 cm",Private collection,https://www.wga.hu/detail/a/amendola/venus.jpg,sculpture,mythological,Italian,1851-1900
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",Rudolf von Arthaber with his Children,-,"Oil on canvas, 155 x 221 cm","Österreichische Galerie Belvedere, Vienna",https://www.wga.hu/detail/a/amerling/detailhaber.jpg,painting,portrait,Austrian,1801-1850
AMICO FRIULANO DEL DOSSO,(active 1510-1540 in northern Italy),Portrait of a Gentleman with a Sword,1515-20,"Oil on canvas, 84 x 74 cm",Private collection,https://www.wga.hu/detail/a/amico/portgent.jpg,painting,portrait,Italian,1501-1550
"AMIGONI, Jacopo","(b. 1682, Napoli, d. 1752, Madrid)",Portrait of a Gentlemen in Blue Jacket,-,"Oil on canvas, 127 x 102 cm",Private collection,https://www.wga.hu/detail/a/amigoni/gentlema.jpg,painting,portrait,Italian,1701-1750
"AMMAN, Jost","(b. 1539, Zürich, d. 1591, Nürnberg)",Papermaking (from the Book of Trades),1568,Woodcut,"Victoria and Albert Museum, London",https://www.wga.hu/detail/a/amman/amman1.jpg,graphics,other,Swiss,1551-1600
"AMMANATI, Bartolomeo","(b. 1511, Settignano, d. 1592, Firenze)",Falcon,c. 1567,"Bronze, 40 x 20 cm","Museo Nazionale del Bargello, Florence",https://www.wga.hu/detail/a/ammanati/1sculptu/birds1.jpg,sculpture,other,Italian,1551-1600
"AMSTEL, Jan van","(b. ca. 1500, Amsterdam, d. ca. 1542, Antwerpen)",Dispute in a Brothel,-,"Oil on oak panel, 76 x 105 cm",Private collection,https://www.wga.hu/detail/a/amstel/brothel.jpg,painting,genre,Netherlandish,1501-1550
"ANCHER, Anna Kirstine","(b. 1859, Skagen, d. 1935, Skagen)",Sunlight in the Blue Room. Helga Ancher Knitting in her Grandmother's Room,1891,"Oil on canvas, 65 x 59 cm","Skagens Museum, Skagen",https://www.wga.hu/detail/a/ancher/anna/blueroom.jpg,painting,genre,Danish,1851-1900
"ANCHER, Michael Peter","(b. 1849, Rutsker, d. 1927, Skagen)",The Lifeboat is Taken through the Dunes,1883,"Oil on canvas, 171 x 221 cm","Statens Museum for Kunst, Copenhagen",https://www.wga.hu/detail/a/ancher/michael/lifeboat.jpg,painting,genre,Danish,1851-1900
"ANCONA, Vito d'","(b. 1825, Pesaro, d. 1884, Firenze)",Portrait of Gioacchino Rossini,1874,"Oil on canvas, 85 x 66 cm","Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/detail/a/ancona/rossini.jpg,painting,portrait,Italian,1851-1900
"ANDERSON, William","(b. 1757, Scotland, d. 1837, London)","The Capture of Fort Saint Louis, Martinique",1795,"Oil on canvas, 91 x 127 cm","National Maritime Museum, Greenwich",https://www.wga.hu/detail/a/anderson/capture.jpg,painting,historical,Scottish,1801-1850
ANDREA DA FIRENZE,"(active 1343-1377, Firenze)","Bearing of the Cross, Crucifixion, Descent into Hell (north wall)",1366-67,Fresco,"Cappellone degli Spagnoli, Santa Maria Novella, Florence",https://www.wga.hu/detail/a/andrea/firenze/spanish/1north.jpg,painting,religious,Italian,1351-1400
ANDREA DA MURANO,"(known 1463, Venezia, d. 1512, Castelfranco Veneto)",Polyptych,c. 1478,"Tempera on wood, 152 x 88 cm (centre), 152 x 47 cm (sides), 80 x 199 cm (lunette)","Gallerie dell'Accademia, Venice",https://www.wga.hu/detail/a/andrea/murano/polyptic.jpg,painting,religious,Italian,1451-1500
ANDREA DEL CASTAGNO,"(b. 1423, Castagno, d. 1457, Firenze)",Crucifixion and Saints,1440-41,Fresco,"Ospedale Santa Maria Nuova, Florence",https://www.wga.hu/detail/a/andrea/castagno/1_1440s/01crucif.jpg,painting,religious,Italian,1401-1450
ANDREA DEL SARTO,"(b. 1486, Firenze, d. 1530, Firenze)",The Annunciation,1512-13,"Oil on wood, 183 x 184 cm","Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/detail/a/andrea/sarto/1/annuncia.jpg,painting,religious,Italian,1501-1550
ANDREA DI BARTOLO,"(b. 1360/70, Siena, d. 1428, Siena)",Coronation of the Virgin,1405-07,"Panel, 106 x 74 cm","Galleria Franchetti, Ca' d'Oro, Venice",https://www.wga.hu/detail/a/andrea/bartolo/coronati.jpg,painting,religious,Italian,1401-1450
ANDREA DI NERIO,"(active 1350s, Arezzo, d. before 1387)",Virgin and Child,1350s,"Tempera, gold and silver on panel, 80 x 62 cm",Private collection,https://www.wga.hu/detail/a/andrea/nerio/virgin_c.jpg,painting,religious,Italian,1351-1400
ANDREA di Vanni d'Andrea,"(b. ca. 1332, Siena, d. 1414, Siena)",Ascension of Christ,1355-60,"Tempera on wood, 68 x 28 cm","The Hermitage, St. Petersburg",https://www.wga.hu/detail/a/andrea/vanni/ascensio.jpg,painting,religious,Italian,1351-1400
"ANDREANI, Andrea","(b. ca. 1558, Mantova, d. ca. 1629, Mantova)",The Triumph of Caesar (frontispiece),1599,"Chiaroscuro woodcut, 374 x 370 mm","British Museum, London",https://www.wga.hu/detail/a/andreani/triumph.jpg,graphics,historical,Italian,1551-1600
"ANDREESCU, Ion","(b. 1850, Bucureºti, d. 1882, Bucureºti)",Edge of the Forest,c. 1880,"Oil on canvas, 61 x 51 cm","Muzeul National de Arta, Bucharest",https://www.wga.hu/detail/a/andreesc/forest.jpg,painting,landscape,Other,1851-1900
"ANDREOLI, Giorgio","(b. ca. 1465, Intra, d. 1553, Gubbio)",Dish,1525,"Tin-glazed earthenware, diameter 45 cm","Wallace Collection, London",https://www.wga.hu/detail/a/andreoli/dish.jpg,ceramics,other,Italian,1501-1550
"ANDRIESSEN, Jurriaan","(b. 1742, Amsterdam, d. 1819, Amsterdam)",Arcadian Landscape,1780s,"Oil on canvas, 196 x 113 cm",Private collection,https://www.wga.hu/detail/a/andriess/arcadia1.jpg,painting,landscape,Dutch,1751-1800
"ANDROUET DU CERCEAU, Jacques the Elder","(b. ca. 1515, ?, d. 1584, Annecy)","Château, Charleval",c. 1570,Engraving,"Bibliothèque Nationale, Paris",https://www.wga.hu/detail/a/androuet/charleva.jpg,graphics,other,French,1551-1600
"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",An Extensive Landscape,1751-55,"Oil on canvas, 130 x 97 cm",Private collection,https://www.wga.hu/detail/a/anesi/landsca1.jpg,painting,landscape,Italian,1701-1750
"ÁNGEL, Pedro",(active 1583-1617 in Toledo),Jerónimo de Cevallos,1613,"Engraving, 135 x 215 mm","Biblioteca Nacional, Madrid",https://www.wga.hu/detail/a/angel/ceballos.jpg,graphics,portrait,Spanish,1601-1650
"ANGELI, Giuseppe","(b. 1712, Venezia, d. 1798, Venezia)",View of the ballroom,1760,Fresco,"Villa Widmann, Mira",https://www.wga.hu/detail/a/angeli/1mira.jpg,painting,interior,Italian,1701-1750
"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",San Domenico Altarpiece,1423-24,"Tempera and gold on panel, 212 x 237 cm","San Domenico, Fiesole",https://www.wga.hu/detail/a/angelico/00/10fieso1.jpg,painting,religious,Italian,1401-1450
