AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"BELLE, Alexis-Simon","(b. 1674, Paris, d. 1734, Paris)",Portrait of a Gentleman,-,"Oil on canvas, 100 x 81 cm",Private collection,https://www.wga.hu/detail/b/belle/alexis/gentlema.jpg,painting,portrait,French,1701-1750
"BELLE, Clément-Louis-Marie-Anne","(b. 1722, Paris, d. 1806, Paris)",Venus and Adonis,1772,"Oil on canvas, 98 x 152 cm","Musée National du Château, Versailles",https://www.wga.hu/detail/b/belle/clement/venus_ad.jpg,painting,mythological,French,1751-1800
"BELLECHOSE, Henri",(active 1415-1440 in France),Martyrdom of St Denis,1416,"Wood transferred to canvas, 161 x 210 cm","Musée du Louvre, Paris",https://www.wga.hu/detail/b/bellecho/st_denis.jpg,painting,religious,French,1401-1450
"BELLEGAMBE, Jean","(b. ca. 1470, Douai , d. ca. 1535, Douai)",Annunciation,1516-17,"Oil on canvas tansferred from wood, 109 x 80 cm (central), 103 x 33 cm (side)","The Hermitage, St. Petersburg",https://www.wga.hu/detail/b/bellegam/annuncia.jpg,painting,religious,Flemish,1501-1550
"BELLEVOIS, Jacob Adriaensz.","(b. ca. 1620, Rotterdam, d. 1676, Rotterdam)",Dutch Ships in Choppy Waters,-,"Oil on oak panel, 47 x 63 cm",Private collection,https://www.wga.hu/detail/b/bellevoi/dutcship.jpg,painting,landscape,Dutch,1651-1700
"BELLINI, Gentile","(b. ca. 1429, Venezia, d. 1507, Venezia)",Annunciation,c. 1465,"Tempera and oil on panel, 133 x 124 cm","Museo Thyssen-Bornemisza, Madrid",https://www.wga.hu/detail/b/bellini/gentile/annuncia.jpg,painting,religious,Italian,1451-1500
"BELLINI, Giovanni","(b. ca. 1426, Venezia, d. 1516, Venezia)",St Jerome in the Desert,c. 1450,"Egg tempera on wood, 44 x 23 cm","Barber Institute of Fine Arts, Birmingham",https://www.wga.hu/detail/b/bellini/giovanni/1459/010jerom.jpg,painting,religious,Italian,1451-1500
"BELLINI, Jacopo","(b. ca. 1400, Venezia, d. 1470, Venezia)",Annunciation,1444,Panel,"Sant'Alessandro, Brescia",https://www.wga.hu/detail/b/bellini/jacopo/annuncia.jpg,painting,religious,Italian,1401-1450
"BELLINI, Leonardo",(active 1443-1490 in Venice),Ducal Oath,1450s,Manuscript (Cod. Lat. X. 190),"Biblioteca Nazionale Marciana, Venice",https://www.wga.hu/detail/b/bellini/leonardo/ducaoath.jpg,illumination,historical,Italian,1451-1500
"BELLIS, Antonio de","(b. ca. 1616, d. ca. 1656, Napoli)",St Catherine of Alexandria,1640s,"Oil on canvas, 104 x 78 cm",Private collection,https://www.wga.hu/detail/b/bellis/catherin.jpg,painting,religious,Italian,1601-1650
"BELLO, Marco","(b. 1470, Venezia, d. 1523, Udine)",Sacra Conversazione,-,"Oil on panel, 64 x 84 cm",Private collection,https://www.wga.hu/detail/b/bello/sacracon.jpg,painting,religious,Italian,1501-1550
"BELLOTTI, Pietro","(b. 1623, Volciano di Salò, d. 1700, Gargnano)",Geography Lesson,-,"Oil on canvas, 73 x 60 cm",Private collection,https://www.wga.hu/detail/b/bellotti/geograph.jpg,painting,genre,Italian,1651-1700
"BELLOTTO, Bernardo","(b. 1720, Venezia, d. 1780, Warszawa)",Rio dei Mendicanti with the Scuola di San Marco,1738-40,"Oil on canvas, 42 x 69 cm","Gallerie dell'Accademia, Venice",https://www.wga.hu/detail/b/bellotto/1/bello100.jpg,painting,landscape,Italian,1751-1800
"BELLUCCI, Antonio","(b. 1654, Pieve di Soligo, d. 1726, Pieve di Soligo)",Antiochus and Stratonice,c. 1700,"Oil on canvas, 253 x 301 cm","Staatliche Museen, Kassel",https://www.wga.hu/detail/b/bellucci/antiochu.jpg,painting,mythological,Italian,1651-1700
"BELVEDERE, Andrea","(b. 1652, Napoli, d. 1732, Napoli)",Flowers and Ducks,before 1674,"Oil on canvas, 126 x 155 cm","Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/detail/b/belveder/flowduck.jpg,painting,still-life,Italian,1651-1700
"BEMBO, Benedetto",(active 1462-1489 in Cremona),View of the southeast window wall,c. 1460,Fresco,"Golden Room, Castello di Torrechiara, Torrechiara",https://www.wga.hu/detail/b/bembo/benedett/golden.jpg,painting,interior,Italian,1451-1500
"BEMBO, Bonifazio",(active in Brescia and Cremona 1444-1477),Portraits of Francesco Sforza and Bianca Maria Sforza,c. 1460,"Tempera on canvas, 49 x 31 cm (each)","Pinacoteca di Brera, Milan",https://www.wga.hu/detail/b/bembo/bonifazi/psforza.jpg,painting,portrait,Italian,1451-1500
"BEMBO, Giovan Francesco","(b. ca. 1480, Cremona, d. ca. 1543)",Adoration of the Magi and Presentation in the Temple,1516,Fresco,"Cathedral, Cremona",https://www.wga.hu/detail/b/bembo/giovan/cremona.jpg,painting,religious,Italian,1501-1550
"BENAGLIO, Francesco","(b. ca. 1430, Verona, d. ca. 1492, Verona)",Virgin and Child,1480s,"Oil on panel, 38 x 30 cm","Museo Correr, Venice",https://www.wga.hu/detail/b/benaglio/madchild.jpg,painting,religious,Italian,1451-1500
"BENCZÚR, Gyula","(b. 1844, Nyíregyháza, d. 1920, Dolány)",László Hunyadi's Farewell,1866,"Oil on canvas, 147 x 121 cm","Magyar Nemzeti Galéria, Budapest",https://www.wga.hu/detail/b/benczur/1hunyadi.jpg,painting,historical,Hungarian,1851-1900
"BENDL, Ehregott Bernhard","(b. ca. 1660, Pfarrkirchen, d. 1738, Augsburg)",St John the Evangelist,1697,"Painted wood, height 197 cm","Germanisches Nationalmuseum, Nuremberg",https://www.wga.hu/detail/b/bendl/st_john.jpg,sculpture,religious,German,1651-1700
"BENDZ, Wilhelm","(b. 1804, Odense, d. 1832, Vicenza)",The Waagepetersen Family,1830,"Oil on canvas, 100 x 89 cm","Statens Museum for Kunst, Copenhagen",https://www.wga.hu/detail/b/bendz/family.jpg,painting,portrait,Danish,1801-1850
"BENEDETTI, Andries","(b. ca. 1615, Parma(?), d. after 1649, Alkmaar or Italy)",Still-Life,1640s,"Oil on canvas, 81 x 114 cm",Private collection,https://www.wga.hu/detail/b/benedet/still_li.jpg,painting,still-life,Italian,1601-1650
BENEDETTO DA ROVEZZANO,"(b. 1474, Canapale, d. 1554, Vallombrosa)",Medici Arms,c. 1519,Marble,"Palazzo Medici Riccardi, Florence",https://www.wga.hu/detail/b/benedett/mediciar.jpg,sculpture,other,Italian,1501-1550
"BENEFIAL, Marco","(b. 1684, Roma, d. 1764, Roma)",Adoration of the Shepherds,1734,"Oil on canvas, 62 x 50 cm",Private collection,https://www.wga.hu/detail/b/benefial/adorati.jpg,painting,religious,Italian,1701-1750
"BENING, Alexander","(active 1469, Gent, d. 1519, Gent)",Book of Hours,-,Manuscript (Dep. Museo 6),"Biblioteca Centrale, Palermo",https://www.wga.hu/detail/b/bening/alexande/bookhour.jpg,illumination,religious,Flemish,1451-1500
"BENING, Simon","(b. 1483, Ghent, d. 1561, Bruges)",Flower Book of Hours,1520-25,"Manuscript (Clm 23637), 165 x 112 mm","Bayerische Staatsbibliothek, Munich",https://www.wga.hu/detail/b/bening/simon/01flower.jpg,illumination,religious,Flemish,1501-1550
"BENINTENDI, Orsino","(b. ca. 1440, Firenze, d. ca. 1498, Firenze)",Cast of the Dead Mask of Lorenzo de' Medici,1492,"Gypsum-based stucco mounted on poplar panel, 22 x 16 x 8 cm (mask), 58 x 44 x 5 cm (panel)","Museo degli Argenti, Florence",https://www.wga.hu/detail/b/beninten/deadmask.jpg,sculpture,portrait,Italian,1451-1500
"BENOIST, Marie-Guillemine","(b. 1768, Paris, d. 1826, Paris)",Portrait of a Negress,1800,"Oil on canvas, 81 x 65 cm","Musée du Louvre, Paris",https://www.wga.hu/detail/b/benoist/negress.jpg,painting,portrait,French,1801-1850
"BENONI, Giuseppe","(b. 1618, Trento, d. 1684, Venezia)",Dogana da Mar: Façade,1677-82,Photo,"Punta della Dogana, Venice",https://www.wga.hu/detail/b/benoni/dogana1.jpg,architecture,other,Italian,1651-1700
"BENOUVILLE, François-Léon","(b. 1821, Paris, d. 1859, Paris)",The Wrath of Achilles,1847,"Oil on canvas, 156 x 95 cm","Musée Fabre, Montpellier",https://www.wga.hu/detail/b/benouvil/francois/achilles.jpg,painting,mythological,French,1801-1850
"BENOUVILLE, Jean-Achille","(b. 1815, Paris, d. 1891, Paris)",The Campagna at Lungezza near Rome,1848,"Oil on canvas, 170 x 235 cm","Museum of Fine Arts, Houston",https://www.wga.hu/detail/b/benouvil/jean/campagna.jpg,painting,landscape,French,1851-1900
"BENSO, Giulio","(b. 1592, Pieve di Teco, d. 1668, Pieve di Teco)",Choir vault and apse decoration,1637-38,Fresco,"Santissima Annunziata del Vastato, Genoa",https://www.wga.hu/detail/b/benso/vastato.jpg,painting,religious,Italian,1601-1650
"BENSON, Ambrosius","(b. ca. 1484, Lombardy, d. 1550, Bruges)",Lamentation,-,"Oil on oak panel, with a shaped top, 96 x 71 cm",Private collection,https://www.wga.hu/detail/b/benson/father/lamentat.jpg,painting,religious,Flemish,1501-1550
"BENSON, Frank Weston","(b. 1862, Salem, d. 1951, Salem)",The Black Hat,1904,"Oil on canvas, 102 x 81 cm","Museum of Art, Rhode Island School of Design, Providence",https://www.wga.hu/detail/b/benson_f/blackhat.jpg,painting,portrait,American,1851-1900
"BENSON, Willem","(b. ca. 1521, Brugge, d. 1574. Middelburg)",The Nativity,-,"Oil on panel, 36 x 29 cm","Royal Collection, Windsor",https://www.wga.hu/detail/b/benson/son/nativity.jpg,painting,religious,Flemish,1551-1600
"BENTLEY, Charles","(b. ca. 1805, London, d. 1854, London)",A Squall Approaching the Northern French Coast,-,"Watercolour over pencil, heightened with bodycolour, 22 x 32 cm",Private collection,https://www.wga.hu/detail/b/bentley/bentley1.jpg,painting,landscape,English,1801-1850
"BENVENUTI, Pietro","(b. 1769, Arezzo, d. 1844, Firenze)",Elisa Bonaparte and Her Daughter,c. 1810,Oil on canvas,"Musée National du Château, Fontainebleau",https://www.wga.hu/detail/b/benvenu/elisa.jpg,painting,portrait,Italian,1801-1850
BENVENUTO DI GIOVANNI,"(b. 1436, Siena, d. after 1518, Siena)",The Meeting of Jephthah and his Daughter,c. 1470,"Tempera on panel, 32 x 82 cm",Private collection,https://www.wga.hu/detail/b/benvenut/meeting.jpg,painting,religious,Italian,1451-1500
"BÉRAUD, Jean","(b. 1849, St. Petersburg, d. 1935, Paris)",On the Boulevard,1895,"Oil on canvas, 35 x 25 cm","Musée Carnavalet, Paris",https://www.wga.hu/detail/b/beraud/boulevar.jpg,painting,landscape,French,1851-1900
"BERCHEM, Nicolaes","(b. 1620, Haarlem, d. 1683, Amsterdam)",Rest,1644,"Oil on wood, 43 x 34 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/detail/b/berchem/1rest.jpg,painting,landscape,Dutch,1651-1700
"BERCKENRODE, Balthasar Florisz. van","(b. ca. 1591, Delft, d. ca. 1645, Delft)",Bird's-Eye View of Honselaarsdijk (detail),c. 1637,"Engraving, 415 x 500 mm","House of Orange-Nassau Historic Collection Trust, The Hague",https://www.wga.hu/detail/b/berckenr/honselaa.jpg,graphics,landscape,Dutch,1601-1650
"BERCKHEYDE, Gerrit Adriaensz.","(b. 1638, Haarlem, d. 1698, Haarlem)",The Bend in the Herengracht in Amsterdam,1672,"Oil on panel, 41 x 63 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/detail/b/berckhey/gerrit/bend.jpg,painting,landscape,Dutch,1651-1700
"BERCKHEYDE, Job Adriaensz","(b. 1630, Haarlem, d. 1693, Haarlem)",The Amsterdam Exchange,1653,"Oil on canvas, 85 x 105 cm","Museum Boijmans Van Beuningen, Rotterdam",https://www.wga.hu/detail/b/berckhey/job/amexchan.jpg,painting,interior,Dutch,1651-1700
BERENGUER DE MONTAGUT,(active 2nd half of 14th century in Catalonia),Exterior view,1329-84,Photo,"Santa María del Mar, Barcelona",https://www.wga.hu/detail/b/berengue/barcelo1.jpg,architecture,other,Catalan,1351-1400
"BERENTZ, Christian","(b. 1658, Hamburg, d. 1722, Roma)","Flowers, Fruit with a Woman Picking Grapes",1689,Oil on canvas,"Museo Nazionale di Capodimonte, Naples",https://www.wga.hu/detail/b/berentz/flowers1.jpg,painting,still-life,German,1651-1700
"BERGAMASCO, Il","(b. ca. 1509, Bergamo, d. ca. 1569, Madrid)",General view of the Salone,c. 1560,Fresco,"Villa Pallavicino delle Peschiere, Genoa",https://www.wga.hu/detail/b/bergamas/1pallav1.jpg,painting,mythological,Italian,1551-1600
"BERGEN, Dirk van","(b. ca. 1645, Haarlem, d. ca. 1690, Haarlem)",Landscape,1670s,"Oil on canvas, 24 x 30 cm","The Hermitage, St. Petersburg",https://www.wga.hu/detail/b/bergen/landscap.jpg,painting,landscape,Dutch,1651-1700
"BERGERET, Pierre-Nolasque","(b. 1782, Bordeaux, d. 1863, Paris)",Aretino in the Studio of Tintoretto,c. 1822,"Oil on canvas, 59 x 49 cm",Private collection,https://www.wga.hu/detail/b/bergeret/aretino.jpg,painting,portrait,French,1801-1850
"BERGH, Gillis Gillisz. de","(b. ca. 1600, Delft, d. 1669, Delft)",Still-Life,-,"Oil on panel, 34 x 59 cm",Private collection,https://www.wga.hu/detail/b/bergh/still_li.jpg,painting,still-life,Dutch,1601-1650
"BERGHE, Augustin van den","(b. 1756, Brugge, d. 1836, Beauvais)",The Naked Warrior (The Archer),1780s,"Oil on canvas, 192 x 129 cm","Groeninge Museum, Bruges",https://www.wga.hu/detail/b/berghe2/augustin/archer.jpg,painting,other,Flemish,1751-1800
"BERGHE, Charles-Auguste van den","(b. 1798, Beauvais, d. 1853, Paris)",View of the Dogana in Venice,1833,"Oil on canvas, 46 x 38 cm",Private collection,https://www.wga.hu/detail/b/berghe2/charles/dogana.jpg,painting,landscape,French,1801-1850
"BERGHE, Christoffel van den","(b. ca. 1590, Antwerpen, d. after 1642, Middelburg)",Flowers in a Porcelain Vase,1616-17,"Oil on copper, 31 x 21 cm",Private collection,https://www.wga.hu/detail/b/berghe/flowers.jpg,painting,still-life,Flemish,1601-1650
"BERGLER, Joseph the Elder","(b. 1718, Windisch-Matrei, d. 1788, Passau)",The Sacrifice of Abraham,1753,"Alabaster, height 62 cm","Liechtenstein Museum, Vienna",https://www.wga.hu/detail/b/bergler/sacrific.jpg,sculpture,religious,Austrian,1751-1800
